,Palabra,Positiva o Negativa,pos-neg
0,bien,Positiva,1
1,nerviosa,Negativa,-1
2,mal,Negativa,-1
3,contenta,Positiva,1
4,difícil,Negativa,-1
5,tranquila,Positiva,1
6,capaz,Positiva,1
7,inútil,Negativa,-1
8,triste,Negativa,-1
9,sola,Negativa,-1
10,pasado,Negativa,-1
11,día,Positiva,1
12,vida,Positiva,1
13,incapaz,Negativa,-1
14,mejor,Positiva,1
15,tranquilo,Positiva,1
16,peor,Negativa,-1
17,noche,Negativa,-1
18,relajado,Positiva,1
19,alegre,Positiva,1
20,cansado,Negativa,-1
21,cansada,Negativa,-1
22,vivir,Positiva,1
23,morir,Negativa,-1
24,negativo,Negativa,-1
25,nervioso,Negativa,-1
26,positivo,Positiva,1
27,fin,Negativa,-1
28,dormido,Positiva,-1
29,mala,Negativa,-1
30,descansado,Positiva,1
31,tenso,Negativa,-1
32,bueno,Positiva,1
33,tensa,Negativa,-1
34,malestar,Negativa,-1
35,dormida,Positiva,-1
36,despierto,Negativa,-1
37,atrás,Negativa,-1
38,bienestar,Positiva,1
39,durmiendo,Positiva,-1
40,relajada,Positiva,1
41,futuro,Positiva,1
42,buena,Positiva,1
43,útil,Positiva,1
44,malo,Negativa,-1
45,adelante,Positiva,1
46,duro,Negativa,-1
47,fácil,Positiva,1
48,principio,Positiva,1
49,peores,Negativa,-1
50,mejorar,Positiva,1
51,mejores,Positiva,1
52,despierta,Negativa,-1
53,empeorar,Negativa,-1
54,muerte,Negativa,-1
55,acompañada,Positiva,1
56,descansada,Positiva,1
